frequency_Hz,scalar1_dB,scalar2_dB,scalar3_dB,dut4_dB,dut5_dB,dut6_dB
5000000.0,-34.587084739578586,-32.51186579789455,-33.418094872235336,-33.374662142549745,-35.228664132552254,-33.34784990753094
10000000.0,-34.29921574325554,-33.078601797906636,-33.67591583875073,-33.86183051367043,-34.698431757005004,-33.7037212297645
15000000.0,-34.15958586217718,-33.28660758729024,-33.733776901047065,-33.939027802916875,-34.445436632883464,-33.77975463778653
20000000.0,-34.104027937330166,-33.41439648520256,-33.77597623095483,-33.968496439151096,-34.32926931481335,-33.82380117749997
25000000.0,-34.035026911109874,-33.44558409124592,-33.75855895655156,-33.935997006149066,-34.226336599877264,-33.804462950883156
30000000.0,-34.00463259974293,-33.46594453925414,-33.75345165761183,-33.91394008426613,-34.175611372858775,-33.79477041456219
35000000.0,-33.993625469388796,-33.471810961982705,-33.751060133004536,-33.904777440558085,-34.156834448708,-33.790429259809265
40000000.0,-33.99506550974885,-33.47852282281964,-33.75521453972751,-33.90299175869927,-34.15388152584057,-33.79246696365176
45000000.0,-34.002998922819366,-33.45150131733084,-33.74665173091475,-33.89880342617082,-34.17023284649843,-33.784206697743414
50000000.0,-34.00635711669592,-33.44982035626067,-33.7476263316374,-33.89649771870736,-34.17286205134558,-33.783677966200365
55000000.0,-33.97218977053603,-33.40927419540907,-33.71008878880168,-33.8522970161957,-34.137206228826344,-33.74323259802684
60000000.0,-34.028514405753214,-33.431775222361026,-33.751404110556706,-33.91175933677114,-34.20679085797012,-33.79037078929819
65000000.0,-34.04295203434471,-33.41456291065172,-33.74992243881158,-33.9033346816483,-34.22533709275603,-33.78481144083522
70000000.0,-34.056683710081536,-33.38766703861536,-33.74440526176151,-33.90503376429025,-34.25009538626352,-33.7804786632521
75000000.0,-34.0853734834159,-33.3674599626341,-33.75021882396978,-33.924787265768956,-34.29411331217858,-33.789808842340705
80000000.0,-34.076965150075374,-33.34436448283156,-33.73460366277682,-33.90743359247522,-34.28801214825474,-33.7728913028686
85000000.0,-34.09659813315513,-33.33957161532503,-33.74204205070612,-33.91055586296253,-34.31117310140217,-33.77759380390218
90000000.0,-34.09054662547895,-33.30510132978714,-33.72326361805645,-33.90726604825255,-34.31662494219564,-33.76379995022394
95000000.0,-34.1305563422098,-33.30105510951265,-33.74187295998165,-33.929285375438006,-34.36739095022458,-33.78194098040701
100000000.0,-34.13210515370008,-33.28307934287321,-33.73387155009635,-33.920415301868964,-34.372637256819665,-33.772790799862904
105000000.0,-34.15123432799521,-33.26607869720491,-33.73557736842058,-33.92711592491434,-34.401446026673455,-33.77498642456868
110000000.0,-34.150308533326886,-33.24230254089361,-33.72383932721764,-33.920159671248456,-34.40708773408993,-33.76419581600502
115000000.0,-34.132583576110214,-33.18028852966747,-33.684029458587275,-33.87761807958699,-34.398094135488094,-33.72149841629813
120000000.0,-34.1921263550236,-33.19282427073152,-33.72118289019241,-33.927053671188105,-34.47255738092961,-33.761601966150955
125000000.0,-34.177995178117705,-33.153242323757034,-33.69468372725155,-33.903857612552876,-34.46531238625922,-33.735367174311754
130000000.0,-34.19328720485212,-33.13984072162181,-33.69582843229482,-33.9058544636496,-34.4872646469607,-33.73568627794117
135000000.0,-34.236438551900164,-33.141023974965776,-33.71864635624689,-33.935210813038886,-34.542182196397356,-33.759383004549555
140000000.0,-34.234627646292154,-33.11404325483941,-33.70447029030453,-33.922653681957215,-34.546599324668875,-33.7448201135762
145000000.0,-34.21570298026903,-33.05146428492544,-33.66392120268268,-33.884225245449606,-34.5383504039847,-33.70336553211828
150000000.0,-34.254068828341865,-33.05185907029063,-33.68352627212448,-33.90668526324522,-34.586426563688796,-33.72258316846623
155000000.0,-34.273841551147015,-33.04348092956275,-33.68952278222435,-33.91573670762655,-34.61368958123498,-33.72864433041184
160000000.0,-34.272973057470494,-33.00196188305612,-33.668811371844846,-33.90246722866379,-34.625002740784325,-33.709251734701205
165000000.0,-34.276207530464816,-32.98806896583065,-33.663379889161696,-33.894591276517254,-34.63110326551473,-33.70217204049278
170000000.0,-34.29805725872435,-32.97771211886218,-33.6689535401445,-33.89786157188622,-34.65941089639403,-33.705572275973374
175000000.0,-34.361112893876566,-32.9829908235852,-33.70356026060332,-33.9418893230786,-34.73959826537858,-33.741624788613926
180000000.0,-34.32062615479326,-32.91870401883016,-33.65157690334698,-33.89564994313385,-34.70677027987059,-33.69095274671408
185000000.0,-34.32824959792551,-32.88113500504345,-33.636184284013176,-33.87644642530658,-34.72345171972999,-33.672301324711206
190000000.0,-34.34683893897053,-32.88251345735306,-33.64590414846373,-33.88187151524674,-34.74415905305174,-33.679675711724606
195000000.0,-34.35930861888299,-32.85835644972693,-33.63993910935508,-33.87633988388538,-34.765337149585356,-33.672466962477586
200000000.0,-34.365455044814766,-32.834988713121376,-33.63136741320662,-33.86941954676404,-34.778949142448596,-33.66339604708233
205000000.0,-34.3789300836542,-32.810678581086435,-33.62607979435707,-33.86846427183415,-34.802951593131006,-33.65835380755179
210000000.0,-34.37153847347923,-32.78118124433881,-33.607246842216185,-33.84259061434324,-34.79752408157305,-33.63592033997967
215000000.0,-34.405176517958566,-32.76690677041817,-33.61691108391051,-33.85772433579206,-34.84487280307263,-33.645886006624394
220000000.0,-34.443349643991375,-32.7727024250727,-33.63869561056035,-33.87845232512974,-34.89013070502948,-33.66601923273165
225000000.0,-34.40416462361101,-32.722448847789764,-33.59392935031467,-33.829966188414666,-34.85160018736408,-33.619352858417784
230000000.0,-34.424857844175754,-32.69938073993421,-33.592151116351985,-33.824014154246186,-34.88092312904586,-33.614297664016554
235000000.0,-34.42731578278369,-32.68416182594889,-33.58563970710901,-33.81522817923567,-34.88646260226378,-33.606196983914856
240000000.0,-34.433371337664965,-32.65247115629654,-33.572499138956616,-33.800298759000455,-34.90065535427616,-33.59091254474546
245000000.0,-34.4566694539479,-32.638546209304025,-33.57668746766329,-33.80102785060656,-34.931255900077716,-33.59236782868513
250000000.0,-34.455273918620136,-32.60451152844223,-33.55896791283461,-33.787759736245235,-34.93957255765204,-33.575146745418685
255000000.0,-34.45061415310373,-32.58167897312616,-33.54497620883701,-33.76910289884042,-34.93706918801787,-33.55860288735327
260000000.0,-34.45209863687691,-32.553369908004804,-33.53141476034338,-33.756682554789805,-34.94610510659234,-33.54436018234321
265000000.0,-34.45180477569374,-32.50655391285854,-33.506931099861184,-33.727860477395396,-34.95541831716474,-33.51648919314607
270000000.0,-34.49725325923768,-32.52619286872201,-33.539014415434124,-33.755111101991375,-35.004845906242494,-33.54572045599604
275000000.0,-34.51406724647546,-32.50348577811577,-33.53531637165351,-33.746395599194,-35.029001352270804,-33.53862384464358
280000000.0,-34.51278358881075,-32.4667699503093,-33.51614813105233,-33.73287047955853,-35.03895744799081,-33.52034455279157
285000000.0,-34.49741899861725,-32.41561089468408,-33.482039917577076,-33.6926701119391,-35.02965631547939,-33.48257117237693
290000000.0,-34.51232381230861,-32.40615040922774,-33.483877106185844,-33.685082236383664,-35.04632992292472,-33.47986680004789
295000000.0,-34.51115656084564,-32.36271772549909,-33.46064704918306,-33.65792312252756,-35.053817540721994,-33.453620283896754
300000000.0,-34.514100572094144,-32.34546244299647,-33.453305481579754,-33.650122289109866,-35.06137806807566,-33.445334790458304
305000000.0,-34.54353936035166,-32.3275889950045,-33.457848777114776,-33.649086772780585,-35.100083499906894,-33.446080246798864
310000000.0,-34.53639720160295,-32.306770176717215,-33.44359730393157,-33.630331470105105,-35.09397174096341,-33.429562485944025
315000000.0,-34.544340057584535,-32.28264386909784,-33.434559376191594,-33.61365184041532,-35.106226327413324,-33.41644283781531
320000000.0,-34.5350138189046,-32.23312480999847,-33.40467841879908,-33.591507074272904,-35.11075465432717,-33.38815531616293
325000000.0,-34.547369209595935,-32.22082088008043,-33.40388144031306,-33.58050697680344,-35.124053533113994,-33.382555612877425
330000000.0,-34.55014640784971,-32.20202085586771,-33.39496126147888,-33.55660199682918,-35.12466394876894,-33.36705157529238
335000000.0,-34.548974550102,-32.15315803771023,-33.36897571827166,-33.531435969092776,-35.13575109181302,-33.33976879602069
340000000.0,-34.57381462490162,-32.15769604095341,-33.383325818137365,-33.54273407075373,-35.16375589917135,-33.35222767796391
345000000.0,-34.56491141125581,-32.12206028470614,-33.36034338556615,-33.5098826883852,-35.15622678471579,-33.324471292394364
350000000.0,-34.597662053105665,-32.1092838775959,-33.36908458820501,-33.51378615641621,-35.19782021487917,-33.329845965853366
355000000.0,-34.59078447561747,-32.070524401886004,-33.345313961387355,-33.47699631109785,-35.19176973800343,-33.299947001682106
360000000.0,-34.57043174152155,-32.02594544411181,-33.31258171039468,-33.44394285666087,-35.17681542234516,-33.266243120049765
365000000.0,-34.609645727008,-32.053534273817206,-33.34579665969763,-33.467276941578454,-35.213272439885415,-33.29515748570783
370000000.0,-34.600689425199796,-32.009153252997294,-33.318028882569436,-33.42501440207866,-35.205173274641254,-33.26057737291058
375000000.0,-34.58746997571437,-31.968759491480988,-33.290709206940015,-33.39243516954568,-35.19544487804042,-33.23028446887506
380000000.0,-34.58769308969131,-31.933451083260728,-33.27223523731758,-33.365524840890195,-35.199790215233726,-33.207330225282654
385000000.0,-34.57991947390485,-31.904636825106714,-33.25352855672208,-33.339835772887334,-35.19298916295112,-33.185190980541805
390000000.0,-34.595644089406036,-31.88432520479156,-33.25058053277865,-33.334089390076855,-35.215667604964274,-33.17993310547265
395000000.0,-34.583476988694144,-31.845106087922638,-33.224131123481364,-33.29546774875192,-35.203295514436434,-33.147827162565314
400000000.0,-34.58983593554623,-31.82152358149149,-33.21475444622659,-33.281007094475086,-35.2141146933839,-33.1354824809604
405000000.0,-34.58008490986141,-31.77295891747402,-33.18447138407486,-33.240201599444234,-35.20783190669099,-33.09986488855919
410000000.0,-34.616339880159714,-31.792791541149047,-33.21222929269448,-33.255507252933576,-35.24059253298938,-33.122192749406125
415000000.0,-34.61990072020975,-31.763872161570575,-33.19875156249755,-33.23480291059545,-35.24770612484972,-33.10484905273679
420000000.0,-34.596659186889156,-31.72148977625762,-33.165594192482,-33.194355577815976,-35.224664085711396,-33.06818805270608
425000000.0,-34.570475914012555,-31.664805682761887,-33.123333781206696,-33.136153452986846,-35.196327139028824,-33.018741346369836
430000000.0,-34.60886635383859,-31.670427172222,-33.14442341207716,-33.147176835630205,-35.23651408642196,-33.034895647421685
435000000.0,-34.598855232329626,-31.62923377904118,-33.11839618658071,-33.122300339072254,-35.23423045435929,-33.00825898698799
440000000.0,-34.587630744768404,-31.589062048301933,-33.09181009352521,-33.0802645819542,-35.22072024678486,-32.97475406982887
445000000.0,-34.59116368997072,-31.573189697294662,-33.08547323513864,-33.068879138615095,-35.225290787721626,-32.965791186402996
450000000.0,-34.57322125115164,-31.535602995767803,-33.05743233851403,-33.02971768918372,-35.20502494576359,-32.93273252897434
455000000.0,-34.597038150794724,-31.520441746631324,-33.06090703547186,-33.01788245991278,-35.22802516871453,-32.92906106146665
460000000.0,-34.58433071618565,-31.48304942732483,-33.03559847748357,-32.97579923453859,-35.2101576119396,-32.896390924230516
465000000.0,-34.58698722742355,-31.45316398479158,-33.021445112260665,-32.95505350281022,-35.215764936401655,-32.878630613436066
470000000.0,-34.58037124413937,-31.426053262070795,-33.00451873084678,-32.930242269140706,-35.20832417630614,-32.85792726861481
475000000.0,-34.57702183789909,-31.403810050499384,-32.99175857619866,-32.90079906997675,-35.19815709832079,-32.83800482117432
480000000.0,-34.563744223120175,-31.36573192611715,-32.96608476784448,-32.86106002531099,-35.180764876118964,-32.80600221902008
485000000.0,-34.59358681722435,-31.373741060203887,-32.98505581891368,-32.86889695208405,-35.207799915511224,-32.81986076378777
490000000.0,-34.580842782781424,-31.31384667118574,-32.94772865541952,-32.81987895459598,-35.197768804140544,-32.77654924670094
495000000.0,-34.52556005666664,-31.26200010648293,-32.8953895800976,-32.75158213411353,-35.13024297888346,-32.71789379380349
500000000.0,-34.551696495789905,-31.258726219672997,-32.906571473639396,-32.752245860294074,-35.15564038008085,-32.72399447150634
505000000.0,-34.58172889871378,-31.23830369310194,-32.91021779190843,-32.741853666762324,-35.18742389115338,-32.72066393511649
510000000.0,-34.56149305813091,-31.21369716092289,-32.88878179058531,-32.70822617087144,-35.1590840034955,-32.694145360202974
515000000.0,-34.564459498054056,-31.204345338708023,-32.8867025001128,-32.683485602046744,-35.14835813772042,-32.68264071744974
520000000.0,-34.50511951653929,-31.12972302936525,-32.820044681743155,-32.611290491240254,-35.087914113504176,-32.613243433684225
525000000.0,-34.54391676698035,-31.14988068827809,-32.85035535721141,-32.61615087290488,-35.11262324867721,-32.63287854842723
